matchPeriod,minute,eventName,TeamName
1H,2.3771220499999997,Goal,Atl\u00e9tico Madrid
1H,2.4124782000000002,Goal,Las Palmas
1H,4.358363933333334,Goal,Atl\u00e9tico Madrid
1H,4.391006283333334,Goal,Las Palmas
1H,13.255977933333332,Yellow_Card,Las Palmas
1H,23.670154766666666,Yellow_Card,Las Palmas
1H,38.18347333333334,Yellow_Card,Atl\u00e9tico Madrid
1H,38.18654398333333,Yellow_Card,Las Palmas
2H,57.63719328333333,Goal,Las Palmas
2H,57.67319586666667,Goal,Atl\u00e9tico Madrid
2H,61.44438483333333,Goal,Atl\u00e9tico Madrid
2H,61.49460083333334,Goal,Las Palmas
2H,62.45764066666666,Yellow_Card,Las Palmas
2H,74.22976181666667,Goal,Atl\u00e9tico Madrid
2H,74.27146858333333,Goal,Las Palmas
2H,87.41062016666666,Goal,Atl\u00e9tico Madrid
2H,87.44995161666668,Goal,Las Palmas
1H,21.22342808333333,Yellow_Card,Girona
1H,27.8081681,Goal,Girona
1H,27.833239366666664,Goal,M\u00e1laga
2H,54.07778411666666,Yellow_Card,Girona
2H,54.717336749999994,Yellow_Card,Girona
2H,57.3754519,Yellow_Card,M\u00e1laga
2H,62.00760486666667,Yellow_Card,M\u00e1laga
2H,63.12442178333333,Yellow_Card,M\u00e1laga
2H,93.1942414,Yellow_Card,M\u00e1laga
1H,9.14781905,Goal,Real Madrid
1H,9.184299283333333,Goal,Valencia
1H,17.681641083333332,Goal,Valencia
1H,17.705281483333334,Goal,Real Madrid
2H,48.18864988333333,Yellow_Card,Valencia
2H,52.96754595,Yellow_Card,Real Madrid
2H,59.558867983333336,Yellow_Card,Real Madrid
2H,65.95705656666667,Yellow_Card,Valencia
2H,71.09746713333334,Yellow_Card,Real Madrid
2H,76.40861538333334,Goal,Valencia
2H,76.46065193333334,Goal,Real Madrid
2H,80.65404168333333,Yellow_Card,Valencia
2H,82.57580995000001,Goal,Real Madrid
2H,82.6232512,Goal,Valencia
2H,83.71534299999999,Yellow_Card,Valencia
2H,91.91631171666666,Yellow_Card,Valencia
2H,74.32152203333334,Yellow_Card,Sevilla
2H,82.96304398333334,Goal,Sevilla
2H,83.00782321666668,Goal,Getafe
1H,9.082379150000001,Goal,Celta de Vigo
1H,9.127130533333334,Goal,Real Betis
1H,30.862030966666666,Goal,Real Betis
1H,30.886560900000003,Goal,Celta de Vigo
2H,63.40124205000001,Yellow_Card,Real Betis
2H,68.02859701666667,Yellow_Card,Celta de Vigo
2H,76.28779041666667,Goal,Real Betis
2H,76.31009548333333,Goal,Celta de Vigo
2H,83.44904045,Yellow_Card,Real Betis
2H,94.70678745000001,Yellow_Card,Celta de Vigo
1H,24.0810828,Yellow_Card,Eibar
1H,37.955579283333336,Goal,Athletic Club
1H,38.00790955,Goal,Eibar
2H,48.755313066666666,Yellow_Card,Eibar
2H,80.88115518333333,Yellow_Card,Athletic Club
1H,9.462246516666665,Yellow_Card,Villarreal
1H,10.740367266666668,Goal,Real Betis
1H,10.784168300000001,Goal,Villarreal
1H,31.123056366666667,Goal,Villarreal
1H,31.1430792,Goal,Real Betis
1H,46.27912751666667,Yellow_Card,Villarreal
2H,60.40472273333333,Goal,Villarreal
2H,60.44511888333333,Goal,Real Betis
2H,76.21955944999999,Goal,Villarreal
2H,76.23726256666667,Goal,Real Betis
2H,91.28532816666667,Yellow_Card,Villarreal
1H,2.368034666666667,Goal,Real Sociedad
1H,2.39154875,Goal,Deportivo La Coru\u00f1a
1H,3.9078961000000003,Goal,Real Sociedad
1H,3.9249998333333336,Goal,Deportivo La Coru\u00f1a
1H,26.59227663333333,Goal,Deportivo La Coru\u00f1a
1H,26.63607205,Goal,Real Sociedad
1H,43.75817216666667,Yellow_Card,Real Sociedad
2H,46.2310047,Yellow_Card,Deportivo La Coru\u00f1a
2H,49.720366283333334,Goal,Deportivo La Coru\u00f1a
2H,49.748092883333335,Goal,Real Sociedad
2H,53.39705359999999,Yellow_Card,Real Sociedad
2H,79.53274001666668,Yellow_Card,Real Sociedad
2H,82.08578553333334,Goal,Real Sociedad
2H,82.10726181666666,Goal,Deportivo La Coru\u00f1a
2H,85.43662106666667,Goal,Real Sociedad
2H,85.46735348333334,Goal,Deportivo La Coru\u00f1a
1H,34.385525683333334,Yellow_Card,Valencia
1H,11.902943933333335,Goal,Levante
1H,11.951998583333333,Goal,Real Madrid
1H,35.35776288333333,Goal,Real Madrid
1H,35.363519366666665,Goal,Levante
1H,45.43730513333333,Yellow_Card,Levante
2H,46.227177766666664,Yellow_Card,Levante
2H,53.66506955,Yellow_Card,Real Madrid
2H,59.50858685,Yellow_Card,Levante
2H,65.71195365,Yellow_Card,Real Madrid
2H,88.0196767,Red_Card,Real Madrid
1H,38.81860523333333,Goal,Getafe
1H,38.85667121666667,Goal,Legan\u00e9s
2H,47.96668435,Yellow_Card,Getafe
2H,64.78004045,Goal,Legan\u00e9s
2H,64.82144418333334,Goal,Getafe
2H,69.57878176666667,Yellow_Card,Getafe
2H,72.9771391,Yellow_Card,Legan\u00e9s
2H,82.94352298333334,Goal,Getafe
2H,82.99445734999999,Goal,Legan\u00e9s
1H,33.2409501,Goal,Celta de Vigo
1H,33.26439118333334,Goal,Deportivo Alav\u00e9s
1H,43.43272505,Yellow_Card,Celta de Vigo
2H,51.534628966666666,Yellow_Card,Celta de Vigo
2H,65.17598908333333,Yellow_Card,Deportivo Alav\u00e9s
2H,67.97716266666666,Yellow_Card,Celta de Vigo
2H,79.89434028333334,Yellow_Card,Deportivo Alav\u00e9s
2H,85.04373986666667,Yellow_Card,Deportivo Alav\u00e9s
2H,88.63367101666665,Yellow_Card,Deportivo Alav\u00e9s
2H,93.77317823333333,Yellow_Card,Celta de Vigo
1H,20.2424216,Yellow_Card,Athletic Club
1H,23.622840583333335,Yellow_Card,Girona
1H,24.738237966666667,Goal,Athletic Club
1H,24.7682715,Goal,Girona
1H,26.777262733333334,Yellow_Card,Girona
1H,39.60082385,Yellow_Card,Girona
2H,52.795433833333334,Goal,Athletic Club
2H,52.85414885,Goal,Girona
2H,55.791407316666664,Yellow_Card,Girona
2H,63.380779000000004,Yellow_Card,Athletic Club
2H,67.54807623333333,Yellow_Card,Athletic Club
2H,79.51367016666666,Yellow_Card,Girona
2H,86.99101573333334,Yellow_Card,Girona
2H,89.97016906666667,Yellow_Card,Athletic Club
